place_overall,place_gender,sex,name,bib,division,half_split,finish
Place Overall,Place Gender,M,,BIB,Division,HALF,Finish
2529,2058,M,"LaHucik, Kyle (USA)",8222,20-24,01:30:15,03:27:24
2530,2059,M,"Bingham, Andy (USA)",7007,25-29,01:38:14,03:27:31
2531,2060,M,"Leardi, Vitor (BRA)",10011,30-34,01:31:36,03:27:32
2532,2061,M,"Yap, Raymond (USA)",8638,35-39,01:42:19,03:27:32
2533,2062,M,"Tharp, Danny (USA)",6570,40-44,01:36:11,03:27:33
2534,2063,M,"Cervarich, Matthew (USA)",6155,30-34,01:42:29,03:27:33
2535,2064,M,"Roach, Joel (USA)",23004,50-54,01:42:17,03:27:33
2536,2065,M,"Eaton, Josh (USA)",8876,35-39,01:42:02,03:27:33
2537,2066,M,"Bingham, Justin (USA)",14106,35-39,01:40:57,03:27:35
2538,2067,M,"Liu, Wenlin (USA)",7131,35-39,01:27:55,03:27:36
2541,2068,M,"Rojas, Antony (COL)",6714,30-34,01:41:28,03:27:37
2543,2069,M,"Cillo, Paul (USA)",8051,25-29,01:39:45,03:27:38
2544,2070,M,"Kohler, Seth (USA)",10600,40-44,01:46:25,03:27:38
2545,2071,M,"Lett, Dave (USA)",6239,50-54,01:39:58,03:27:38
2546,2072,M,"Ehrle, Aaron (USA)",7199,35-39,01:31:20,03:27:40
2549,2073,M,"Pereira, Estenil (BRA)",1259,50-54,01:39:17,03:27:43
2550,2074,M,"Villarreal Singer, Diego (MEX)",14197,35-39,01:42:46,03:27:43
2551,2075,M,"McVerry, Patrick (IRL)",9431,50-54,01:42:06,03:27:44
2552,2076,M,"McCloud, James (USA)",10176,35-39,01:34:18,03:27:44
2553,2077,M,"Lamkin, Seth (USA)",16496,35-39,01:40:55,03:27:44
2554,2078,M,"Vega, Dan (COL)",6310,45-49,01:33:59,03:27:45
2555,2079,M,"Shvets, Artem (UKR)",19004,19 and under,01:35:43,03:27:46
2556,2080,M,"Weissinger, Mathew (USA)",691,30-34,01:19:12,03:27:46
2557,2081,M,"Alonso Contreras, Julio Cesar (COL)",2650,50-54,01:40:59,03:27:47
2558,2082,M,"Sajdak, Kevin (USA)",6446,35-39,01:39:44,03:27:47
2560,2083,M,"Day, Jon (USA)",4026,35-39,01:22:43,03:27:48
2561,2084,M,"Perez, Manuel (USA)",6469,25-29,01:34:30,03:27:48
2562,2085,M,"Altamirano, Osman (USA)",12808,40-44,01:39:52,03:27:48
2563,2086,M,"Reyes De La Torre, Santiago (MEX)",16157,20-24,01:41:58,03:27:48
2564,2087,M,"Crennan, Mark (USA)",8490,35-39,01:40:47,03:27:49
2565,2088,M,"Murry, Andrew (USA)",7461,25-29,01:37:00,03:27:49
2567,2089,M,"Otten, Hans (USA)",30024,50-54,01:41:22,03:27:52
2569,2090,M,"Romero Gonzalez, Adolfo (MEX)",3455,30-34,01:37:27,03:27:53
2570,2091,M,"Somani, Chandra (USA)",7218,40-44,01:39:06,03:27:54
2571,2092,M,"Silva, Ricardo (MEX)",2595,35-39,01:29:17,03:27:55
2573,2093,M,"Valenciatrujillo, Gerardo (MEX)",5302,40-44,01:31:54,03:27:55
2574,2094,M,"Bloomer, Conor (USA)",5597,25-29,01:34:42,03:27:56
2575,2095,M,"Troyer-Joy, Graham (USA)",7847,35-39,01:45:53,03:27:56
2576,2096,M,"Hess, Justin (USA)",6591,30-34,01:40:29,03:27:58
2577,2097,M,"Guerrero, Francisco (USA)",4333,40-44,01:38:14,03:27:58
2578,2098,M,"Mazzone, Joseph (USA)",7009,30-34,01:32:21,03:27:58
2579,2099,M,"Remillard, Ernest (USA)",8352,40-44,01:29:02,03:27:59
2580,2100,M,"Doupe, Ryan (USA)",6212,35-39,01:39:25,03:27:59
2581,2101,M,"Kaicher, William (USA)",12115,25-29,01:31:14,03:28:00
2582,2102,M,"Maiale, Guillermo (ARG)",6686,35-39,01:38:20,03:28:00
2583,2103,M,"Greenberg, Jeremy (USA)",9375,30-34,01:38:28,03:28:00
2584,2104,M,"Reyes, Saul (USA)",12136,35-39,01:35:17,03:28:01
2585,2105,M,"Tellez hernandez, Antonio carlos (MEX)",16019,40-44,01:40:26,03:28:03
2586,2106,M,"Morikawa, Shuntaro (JPN)",14735,40-44,01:43:23,03:28:04
2587,2107,M,"Radune, C.J. (USA)",7316,40-44,01:40:18,03:28:04
2589,2108,M,"Branta, Jeff (USA)",4386,35-39,01:34:40,03:28:05
2590,2109,M,"Kenyon, Wes (USA)",15211,45-49,01:34:41,03:28:06
2593,2110,M,"Campbell, Peter (USA)",5563,35-39,01:36:53,03:28:08
2594,2111,M,"Duval, Luis (DOM)",20096,55-59,01:41:57,03:28:09
2596,2112,M,"Morales Mejia, Jose (CRC)",1360,55-59,01:40:31,03:28:09
2598,2113,M,"Kemp, Jeff (USA)",15452,55-59,01:37:30,03:28:10
2599,2114,M,"Richards, Michael (USA)",31172,25-29,01:45:58,03:28:10
2601,2115,M,"Ahern, Patrick (USA)",7593,45-49,01:44:57,03:28:12
2603,2116,M,"Thomas, Jean michel (USA)",12380,40-44,01:37:19,03:28:12
2604,2117,M,"Gaskin, Aidan (USA)",29062,20-24,01:34:28,03:28:12
2605,2118,M,"Lopez Vera, Andres (COL)",1598,30-34,01:38:45,03:28:14
2606,2119,M,"Girod, Tim (USA)",7293,35-39,01:27:54,03:28:14
2607,2120,M,"Goitizolo, Sebastian (PER)",4888,40-44,01:42:47,03:28:14
2608,2121,M,"Quiros, Mario (CRC)",10285,45-49,01:38:53,03:28:15
2609,2122,M,"Yue, Pin (USA)",8328,50-54,01:33:41,03:28:16
2612,2123,M,"Estabrook, Eric (USA)",9283,35-39,01:36:28,03:28:18
2613,2124,M,"Kao, Brian (USA)",11400,30-34,01:44:23,03:28:19
2614,2125,M,"Bruno, Nicholas (USA)",12963,25-29,01:44:26,03:28:19
2615,2126,M,"Wu, Harris (USA)",9282,45-49,01:37:18,03:28:19
2617,2127,M,"Garcia, Roberto (USA)",29187,25-29,01:40:50,03:28:20
2618,2128,M,"Plisco, Michael (USA)",10437,25-29,01:57:28,03:28:21
2620,2129,M,"Sainz Trapaga, Inigo (MEX)",3428,35-39,01:36:42,03:28:21
2621,2130,M,"Evers, Brandon (USA)",17599,20-24,01:43:45,03:28:22
2622,2131,M,"Najarian, James (USA)",9968,25-29,01:43:57,03:28:23
2623,2132,M,"Aygen, Can (TUR)",7736,25-29,01:41:19,03:28:23
2625,2133,M,"Moore, Dustin (USA)",6034,25-29,01:28:49,03:28:24
2627,2134,M,"Vangavolu, Sant (USA)",17205,25-29,01:41:36,03:28:25
2628,2135,M,"Onistrat, Andrii (UKR)",3052,45-49,01:33:53,03:28:25
2629,2136,M,"Majocha, Marcin (USA)",12042,35-39,01:31:59,03:28:25
2630,2137,M,"Halaby, Tony (USA)",5278,50-54,01:39:07,03:28:25
2631,2138,M,"Stephens, Rich (USA)",6011,40-44,01:40:56,03:28:26
2633,2139,M,"Del Villar, Fernando (MEX)",21112,25-29,01:40:55,03:28:27
2634,2140,M,"Steel, Matthew (AUS)",9215,45-49,01:41:08,03:28:28
2635,2141,M,"Belex, Antonio (USA)",8411,30-34,01:34:34,03:28:28
2636,2142,M,"Lizcano, Ovid (VEN)",9156,35-39,01:25:48,03:28:28
2637,2143,M,"Cortes, Camilo (COL)",19199,30-34,01:40:20,03:28:29
2638,2144,M,"Barber, James (USA)",29107,40-44,01:33:52,03:28:29
2639,2145,M,"Humphrey, Kevin (USA)",7743,35-39,01:36:44,03:28:30
2640,2146,M,"Ursum, Scot (USA)",16029,50-54,01:37:03,03:28:31
2642,2147,M,"Meza, Eduardo (MEX)",5211,40-44,01:37:29,03:28:32
2645,2148,M,"Clement, Brandon (USA)",7699,30-34,01:37:25,03:28:34
2646,2149,M,"Kelch, Conor (USA)",11145,25-29,01:32:13,03:28:34
2647,2150,M,"Mohnot, Anshul (IND)",4330,35-39,01:41:37,03:28:34
2649,2151,M,"Rodriguez, Carlos (USA)",3392,25-29,01:36:22,03:28:36
2652,2152,M,"Prudencio Gonzalez, Gerardo (MEX)",3710,25-29,01:38:08,03:28:38
2654,2153,M,"Hewlett, John (USA)",10482,45-49,01:36:48,03:28:38
2655,2154,M,"Muffett, Adam (USA)",9299,40-44,01:35:39,03:28:38
2657,2155,M,"Smith, Nelson (USA)",5017,25-29,01:25:37,03:28:39
2661,2156,M,"Zambrano, Adrian (MEX)",12016,45-49,01:39:55,03:28:40
2664,2157,M,"Rivera Arce, Walter Raimundo (ECU)",2457,30-34,01:34:18,03:28:42
2665,2158,M,"Zila, Jeffrey (USA)",8033,30-34,01:35:13,03:28:42
2666,2159,M,"Olson, Brent (USA)",32192,25-29,01:43:49,03:28:43
2669,2160,M,"Cafaro, Charles (USA)",5270,25-29,01:34:50,03:28:45
2671,2161,M,"Skrove, Grant (USA)",12486,20-24,01:43:42,03:28:46
2672,2162,M,"Lopez Ibarra, Luis Eduardo (MEX)",17394,30-34,01:38:10,03:28:46
2673,2163,M,"Schorner, Benedikt (USA)",8402,50-54,01:40:30,03:28:47
2675,2164,M,"Bolanos, Federico (CRC)",11136,30-34,01:39:17,03:28:47
2676,2165,M,"Dickerson, Richard (USA)",6243,40-44,01:38:05,03:28:47
2679,2166,M,"Malca, Gabriel (USA)",9389,25-29,01:31:49,03:28:49
2680,2167,M,"Davenport, James (USA)",10436,55-59,01:32:03,03:28:49
2681,2168,M,"Dincsalman, Ayhan (USA)",15225,25-29,01:44:29,03:28:49
2683,2169,M,"Southworth, Alan (USA)",9126,25-29,01:24:38,03:28:50
2684,2170,M,"Hernandez, Kevin (USA)",8200,25-29,01:43:45,03:28:51
2685,2171,M,"Pearson, John (USA)",13470,20-24,01:33:02,03:28:51
2686,2172,M,"James, Aby (USA)",21415,19 and under,01:47:01,03:28:52
2688,2173,M,"Gutierrez Duran, Francisco (CRC)",20066,35-39,01:39:51,03:28:53
2689,2174,M,"Romo, Zeferino (MEX)",20496,30-34,01:40:25,03:28:54
2690,2175,M,"Thornton, Patrick (USA)",9197,35-39,01:29:34,03:28:54
2691,2176,M,"Miles, Doug (USA)",7519,45-49,01:35:36,03:28:55
2693,2177,M,"Segoviano, Eder (MEX)",3770,30-34,01:44:50,03:28:57
2694,2178,M,"Farr, Nico (GER)",5272,40-44,01:41:42,03:28:58
2697,2179,M,"Marcus, Ryan (USA)",9522,25-29,01:34:13,03:28:59
2698,2180,M,"Majewski, Anthony (USA)",13344,35-39,01:44:39,03:29:00
2699,2181,M,"Ramos, Alberto (ESP)",13310,45-49,01:38:45,03:29:00
2700,2182,M,"Schaefer, Evan (USA)",27032,20-24,01:43:20,03:29:00
2702,2183,M,"Rubio, Jose (GUA)",2780,45-49,01:39:07,03:29:02
2703,2184,M,"Kalinowski, Daniel (USA)",10585,30-34,01:39:35,03:29:02
2704,2185,M,"Rosenquist, Kris (USA)",9557,45-49,01:43:06,03:29:02
2706,2186,M,"Zmuda, Krzysztof (USA)",6309,40-44,01:34:58,03:29:03
2707,2187,M,"Garnier, Hugo (FRA)",19159,30-34,01:34:15,03:29:04
2708,2188,M,"Majewski, Wade (USA)",14212,45-49,01:40:34,03:29:05
2709,2189,M,"Ruiz Herrera, Gabriel (MEX)",26195,25-29,01:38:49,03:29:05
2710,2190,M,"Malter, Drew (USA)",34192,25-29,01:39:46,03:29:06
2711,2191,M,"Mahood, James (USA)",5322,35-39,01:35:21,03:29:06
2712,2192,M,"Ring, Brenden (USA)",10150,30-34,01:29:36,03:29:06
2713,2193,M,"Larrea, Antonio (MEX)",3769,30-34,01:44:40,03:29:07
2717,2194,M,"McGinnis, Will (USA)",17533,35-39,01:44:26,03:29:09
2718,2195,M,"Teng, David (USA)",13336,55-59,01:44:30,03:29:09
2722,2196,M,"Koral, Matthew (USA)",4098,30-34,01:33:41,03:29:10
2723,2197,M,"Hunter, Richard (USA)",18853,50-54,01:43:16,03:29:12
2724,2198,M,"Greenfield, Adam (USA)",18901,35-39,01:43:16,03:29:12
2725,2199,M,"Bowers, Michael (USA)",8551,40-44,01:37:27,03:29:13
2726,2200,M,"Pippel, Olaf (GER)",9650,30-34,01:38:41,03:29:13
2727,2201,M,"Moylan, Adam (USA)",8207,50-54,01:39:08,03:29:13
2728,2202,M,"Hennegan, John (USA)",14023,50-54,01:39:41,03:29:13
2730,2203,M,"Gandhi, Nilay (USA)",5265,35-39,01:39:21,03:29:15
2731,2204,M,"Velez, Dennis (USA)",6759,50-54,01:44:16,03:29:16
2733,2205,M,"Jackowski, Greg (USA)",15279,50-54,01:41:42,03:29:16
2735,2206,M,"Murugesan, Rajkumar (IND)",26110,40-44,01:44:00,03:29:17
2736,2207,M,"Aral, Ali (TUR)",12800,40-44,01:44:15,03:29:17
2737,2208,M,"Lunn, Chris (USA)",5323,40-44,01:34:47,03:29:17
2738,2209,M,"Chapman, Caleb (USA)",36296,20-24,01:30:05,03:29:18
2740,2210,M,"Villanueva, Gerardo (USA)",12021,40-44,01:31:06,03:29:20
2741,2211,M,"Surowiec, Joe (USA)",8307,45-49,01:35:26,03:29:20
2742,2212,M,"Hodges, Grant (USA)",7692,30-34,01:44:22,03:29:21
2743,2213,M,"Turulis, Marius (LTU)",3862,40-44,01:43:04,03:29:21
2744,2214,M,"Martek, Craig (USA)",9219,30-34,01:33:29,03:29:22
2746,2215,M,"McCarthy, Derek (USA)",7575,30-34,01:36:57,03:29:23
2747,2216,M,"Rozas, Ezequiel (ARG)",1422,30-34,01:36:06,03:29:24
2748,2217,M,"Luo, Yijing (USA)",5366,45-49,01:37:29,03:29:24
2749,2218,M,"Gelande, Michael (USA)",8554,45-49,01:39:46,03:29:24
2750,2219,M,"Sytnyk, Stanislav (USA)",4302,25-29,01:29:07,03:29:24
2752,2220,M,"Liew, Mathew (USA)",6497,30-34,01:36:18,03:29:25
2753,2221,M,"Aguilar, Alejandro (CRC)",13105,25-29,01:36:44,03:29:26
2754,2222,M,"Egeler, Eric (USA)",5462,50-54,01:39:23,03:29:26
2755,2223,M,"Lovell, Daniel (USA)",31525,25-29,01:42:58,03:29:26
2757,2224,M,"Perkins, Joshua (USA)",8127,30-34,01:26:37,03:29:26
2758,2225,M,"Sasser, James (USA)",5354,50-54,01:41:14,03:29:26
2759,2226,M,"Mondejar, Francis (USA)",9307,50-54,01:39:15,03:29:27
2761,2227,M,"Cochrane, Ryan (USA)",5226,35-39,01:41:32,03:29:29
2762,2228,M,"Ostawal, Manoj (USA)",8278,45-49,01:40:16,03:29:30
2763,2229,M,"Guth, Michael (USA)",17419,50-54,01:44:30,03:29:30
2764,2230,M,"Beard, Jordan (USA)",9395,35-39,01:38:39,03:29:31
2766,2231,M,"Cox, Keith (USA)",8305,45-49,01:44:04,03:29:31
2767,2232,M,"Flaherty, Andrew (USA)",5414,25-29,01:34:41,03:29:31
2768,2233,M,"Ruiz, Eduardo (MEX)",3723,35-39,01:41:22,03:29:32
2770,2234,M,"Spitz, Eric (USA)",7206,30-34,01:30:59,03:29:34
2771,2235,M,"Esposito, Luke (USA)",9590,20-24,01:36:55,03:29:34
2772,2236,M,"Manickam, Kannan (USA)",8470,50-54,01:39:32,03:29:34
2774,2237,M,"Collings, Ryan (USA)",4292,35-39,01:30:28,03:29:35
2776,2238,M,"Geht, Solomon (USA)",16956,35-39,01:44:29,03:29:36
2777,2239,M,"McClurkin, John (USA)",9730,30-34,01:44:29,03:29:37
2780,2240,M,"Hoehl, Heiko (GER)",2965,30-34,01:44:42,03:29:40
2781,2241,M,"Stotz, Mike (USA)",17414,50-54,01:44:29,03:29:41
2782,2242,M,"Ortiz, Alberto (USA)",7324,45-49,01:38:09,03:29:41
2783,2243,M,"Duffy, Matthew (USA)",9184,30-34,01:27:22,03:29:42
2785,2244,M,"Simanek, Michael (USA)",5237,40-44,01:37:08,03:29:42
2786,2245,M,"Connor, Ross (USA)",12329,30-34,01:41:00,03:29:43
2787,2246,M,"Correa, Diango (USA)",5454,50-54,01:42:43,03:29:43
2788,2247,M,"Hoffmaster, Michael (USA)",9285,50-54,01:34:48,03:29:44
2789,2248,M,"Alves, Josemar (BRA)",1685,45-49,01:40:04,03:29:44
2790,2249,M,"Hallman, John (USA)",17585,30-34,01:43:40,03:29:45
2791,2250,M,"Melloch, Matthew (USA)",4043,25-29,01:29:31,03:29:45
2792,2251,M,"Powers, Joe (USA)",19050,20-24,01:37:34,03:29:46
2793,2252,M,"Spencer, Leighton (JAM)",4121,30-34,01:26:47,03:29:46
2795,2253,M,"Bucio, Ricardo (USA)",4346,40-44,01:32:59,03:29:48
2797,2254,M,"Larson, Jacob (USA)",15794,25-29,01:43:39,03:29:49
2798,2255,M,"Braam, Jordan (USA)",34124,25-29,01:45:10,03:29:49
2799,2256,M,"Gatto, Robert (USA)",4246,45-49,01:37:24,03:29:49
2800,2257,M,"Goel, Rishi (IND)",8494,35-39,01:39:29,03:29:51
2801,2258,M,"Holzman, Declan (USA)",5266,30-34,01:37:17,03:29:51
2803,2259,M,"Price, Conner (USA)",6863,20-24,01:44:37,03:29:51
2805,2260,M,"Suarez, Mario (COL)",1345,50-54,01:43:27,03:29:52
2806,2261,M,"Behar, Sebastian (MEX)",21325,25-29,01:42:30,03:29:52
2808,2262,M,"Simmons, Pat (USA)",13386,25-29,01:42:51,03:29:53
2810,2263,M,"Dayan, Max (USA)",24127,30-34,01:42:10,03:29:54
2812,2264,M,"Fredrich, Rich (USA)",6377,60-64,01:42:42,03:29:55
2813,2265,M,"Frappolli, Domenic (USA)",15318,25-29,01:45:45,03:29:56
2814,2266,M,"Lopez, Dennis (COL)",1596,35-39,01:38:39,03:29:56
2815,2267,M,"Tacoronte, Richard (VEN)",27050,35-39,01:33:44,03:29:56
2817,2268,M,"Horsfall, Clayton (USA)",14026,30-34,01:44:41,03:29:56
2818,2269,M,"Duke, Alex (USA)",10483,30-34,01:36:11,03:29:57
2819,2270,M,"Weidler, Jordan (USA)",23050,20-24,01:41:00,03:29:57
2820,2271,M,"Allegretti, Mauricio (PAR)",2322,30-34,01:34:45,03:29:58
2821,2272,M,"Reynaldo, Rene (USA)",8663,55-59,01:44:10,03:29:58
2822,2273,M,"Rojas, Moises (PER)",15137,25-29,01:37:23,03:29:59
2823,2274,M,"Kron, Per Filip (USA)",25004,25-29,01:40:07,03:30:00
2825,2275,M,"Rosenblum, Steven (USA)",25352,25-29,01:45:08,03:30:02
2826,2276,M,"Amador, Jose (USA)",12014,55-59,01:37:09,03:30:03
2827,2277,M,"Mackey, Sean (USA)",13505,25-29,01:38:53,03:30:04
2828,2278,M,"Goldfaden, Daniel (USA)",24195,30-34,01:33:24,03:30:04
2829,2279,M,"Gortari, Jason (USA)",8110,30-34,01:34:58,03:30:05
2830,2280,M,"Carlton, Anthony (USA)",24168,30-34,01:43:50,03:30:05
2832,2281,M,"Jaramillo, Santiago (COL)",20023,30-34,01:39:36,03:30:05
2833,2282,M,"Arango, Mateo (COL)",20030,30-34,01:40:21,03:30:05
2834,2283,M,"Escudero, Leonardo (MEX)",6737,30-34,01:35:27,03:30:05
2835,2284,M,"Burgoon, Ryan (USA)",5217,25-29,01:28:33,03:30:06
2837,2285,M,"Sarabia, Marco (MEX)",12271,40-44,01:39:39,03:30:09
2839,2286,M,"Lauria, Brian (USA)",15703,25-29,01:43:23,03:30:09
2840,2287,M,"Smith, Will (USA)",16381,45-49,01:43:31,03:30:10
2842,2288,M,"Gonzalez Renteria, Jorge Manuel (MEX)",16458,30-34,01:43:05,03:30:11
2843,2289,M,"Garvey, John (USA)",4222,35-39,01:31:11,03:30:12
2845,2290,M,"Bolanos, Jose (CRC)",2425,25-29,01:33:02,03:30:12
2846,2291,M,"Kennedy, John (USA)",7913,45-49,01:39:13,03:30:13
2848,2292,M,"Bender, Trevin (USA)",12393,25-29,01:42:15,03:30:15
2849,2293,M,"Ryan, Martin (USA)",27178,30-34,01:32:46,03:30:17
2850,2294,M,"Alexander, Ahren (USA)",24155,25-29,01:38:19,03:30:20
2852,2295,M,"Marshall, Luke (USA)",12584,35-39,01:40:02,03:30:21
2853,2296,M,"Arboleda jimenez, Andres (COL)",20027,35-39,01:38:36,03:30:21
2854,2297,M,"Gautier-Winther, Steven (USA)",16427,40-44,01:42:13,03:30:21
2855,2298,M,"Choi, Ian (USA)",23093,25-29,01:45:43,03:30:23
2856,2299,M,"Bibb, Eric (USA)",19203,20-24,01:44:52,03:30:23
2858,2300,M,"Esposito, Eric (USA)",9586,20-24,01:36:57,03:30:25
2866,2301,M,"Mccall, Andrew (USA)",25112,30-34,01:38:10,03:30:28
2867,2302,M,"Mullee, Jack (USA)",36260,35-39,01:41:13,03:30:29
2868,2303,M,"Batyn, Oleksandr (USA)",6781,25-29,01:42:51,03:30:30
2870,2304,M,"Mailhot-Beutel, Alexander (USA)",14061,25-29,01:29:40,03:30:32
2871,2305,M,"Weber, Elmo (USA)",6245,50-54,01:35:56,03:30:32
2872,2306,M,"Clem, David (USA)",5351,40-44,01:30:45,03:30:33
2873,2307,M,"Chivasa, Mufaro (CAN)",1266,50-54,01:36:53,03:30:35
2874,2308,M,"Kielian, Patrick (USA)",11458,30-34,01:44:14,03:30:35
2876,2309,M,"Delano, Joseph (USA)",7434,40-44,01:34:23,03:30:36
2877,2310,M,"Kosar, Brad (USA)",7565,40-44,01:44:29,03:30:38
2878,2311,M,"MacCallum, William (USA)",28169,25-29,01:42:55,03:30:39
2881,2312,M,"Bernstein, Evan (USA)",16385,30-34,01:39:35,03:30:42
2885,2313,M,"Caughlan, Tom (USA)",5119,40-44,01:37:37,03:30:44
2886,2314,M,"Burke, Michael (USA)",13122,35-39,01:29:02,03:30:44
2888,2315,M,"Kitner, Michael (USA)",10277,25-29,01:40:29,03:30:46
2889,2316,M,"Rooney, Nolan (USA)",7195,25-29,01:29:59,03:30:46
2891,2317,M,"Rayfield, Connor (USA)",14024,25-29,01:37:04,03:30:47
2892,2318,M,"Santos, Diogo (BRA)",30399,30-34,01:45:12,03:30:48
2893,2319,M,"Colvin, Travis (USA)",14928,35-39,01:38:38,03:30:48
2895,2320,M,"Espinel, Jon (USA)",14546,30-34,01:43:54,03:30:48
2896,2321,M,"Fletchall, Jason (USA)",9428,35-39,01:37:55,03:30:51
2897,2322,M,"Callans, Adam (USA)",4193,35-39,01:24:46,03:30:51
2899,2323,M,"Jacobo, Juan Pablo (MEX)",10086,20-24,01:30:49,03:30:52
2900,2324,M,"Spaniol, Jacob (USA)",6569,20-24,01:29:24,03:30:53
2901,2325,M,"Rojo, David (ESP)",25045,30-34,01:35:58,03:30:54
2902,2326,M,"Bonnet, Jean-Dominique (USA)",6796,25-29,01:35:47,03:30:56
2904,2327,M,"Bartz, Benjamin (USA)",8919,35-39,01:39:39,03:30:57
2905,2328,M,"Chandler, Wallace (USA)",10798,30-34,01:44:24,03:30:57
2906,2329,M,"Flynn, Chad (USA)",10922,45-49,01:42:14,03:30:58
2907,2330,M,"Nieto, Sergio (MEX)",10244,40-44,01:39:45,03:30:58
2908,2331,M,"Saa, Sebastian (ECU)",20107,35-39,01:42:18,03:31:00
2909,2332,M,"Prada, Carlos (COL)",2821,35-39,01:38:02,03:31:00
2910,2333,M,"Norris, Kyle (USA)",9017,25-29,01:31:16,03:31:01
2911,2334,M,"Formanski, David (USA)",14200,40-44,01:36:13,03:31:02
2913,2335,M,"Sangely, Sebastien (FRA)",4061,40-44,01:29:54,03:31:03
2914,2336,M,"Goodman, Ted (USA)",12555,55-59,01:44:22,03:31:03
2915,2337,M,"Jones, Jarett (USA)",35209,20-24,01:36:02,03:31:05
2916,2338,M,"Romero, Dante (PAN)",2320,50-54,01:39:08,03:31:05
2917,2339,M,"Pavlenko, Andrei (RUS)",4713,50-54,01:44:23,03:31:06
2920,2340,M,"Beres, Brian (USA)",9171,40-44,01:37:44,03:31:08
2921,2341,M,"Luchsinger, Michael (USA)",10329,35-39,01:35:49,03:31:08
2922,2342,M,"Rodriguez, Marcelo (MEX)",21122,35-39,01:44:24,03:31:08
2924,2343,M,"Rohrs, Bruce (USA)",8266,60-64,01:37:39,03:31:10
2925,2344,M,"Fast, Jay (USA)",13101,40-44,01:34:43,03:31:10
2926,2345,M,"Craig, Gordon (USA)",15527,55-59,01:42:40,03:31:10
2930,2346,M,"Vitter, Scott (USA)",8932,30-34,01:40:18,03:31:12
2934,2347,M,"Magsipok, John (USA)",6338,35-39,01:34:41,03:31:15
2935,2348,M,"Radushkevich, Dzmitry (BLR)",7604,35-39,01:42:58,03:31:15
2937,2349,M,"Gomez, Mario (COL)",11167,45-49,01:35:50,03:31:16
2939,2350,M,"Abiera, Sean (USA)",12793,30-34,01:44:41,03:31:17
2941,2351,M,"Olds, David (GBR)",6899,50-54,01:45:27,03:31:18
2942,2352,M,"Salazar, Benjamin (USA)",8750,30-34,01:44:32,03:31:20
2943,2353,M,"Stringfield, Dan (USA)",8206,40-44,01:38:42,03:31:21
2944,2354,M,"Good, Andrew (USA)",13639,30-34,01:43:01,03:31:21
2945,2355,M,"Petroff, Steven (USA)",10458,30-34,01:39:19,03:31:22
2946,2356,M,"Cortes, Abraham (USA)",3357,45-49,01:37:44,03:31:22
2949,2357,M,"Alves, Lucas (BRA)",1919,30-34,01:44:08,03:31:25
2950,2358,M,"Bonasso, Jeff (USA)",9539,50-54,01:39:48,03:31:26
2951,2359,M,"Thompson, Chase (USA)",26210,25-29,01:41:00,03:31:27
2952,2360,M,"Ramirez, Miguel (USA)",34155,30-34,01:45:39,03:31:28
2953,2361,M,"Flores, Arian (USA)",17298,30-34,01:41:27,03:31:29
2954,2362,M,"Hernandez, Sal (USA)",10494,60-64,01:43:46,03:31:29
2955,2363,M,"Paniagua Orozco, Juan Carlos (CRC)",20079,30-34,01:35:28,03:31:29
2958,2364,M,"Cornelio, Israel (USA)",12008,30-34,01:26:30,03:31:33
2963,2365,M,"Solmos, Michael (USA)",19025,19 and under,01:42:21,03:31:35
2964,2366,M,"Mendoza, Julio (VEN)",16003,35-39,01:39:55,03:31:36
2965,2367,M,"Hsu, Jim (USA)",9003,50-54,01:34:15,03:31:36
2969,2368,M,"Costales, Connor (USA)",35282,20-24,01:41:41,03:31:37
2971,2369,M,"Scutt, Hagen (USA)",8596,50-54,01:39:21,03:31:39
2972,2370,M,"Flores, Edras (USA)",5527,45-49,01:39:57,03:31:39
2973,2371,M,"Beltran, Yabin (MEX)",3718,30-34,01:36:59,03:31:39
2975,2372,M,"Arenas, Ivan (USA)",8014,45-49,01:33:03,03:31:41
2976,2373,M,"Jameson, Jeffrey (USA)",4314,45-49,01:39:16,03:31:42
2977,2374,M,"Garcia Mena, Samuel (MEX)",14081,50-54,01:41:04,03:31:43
2978,2375,M,"Olivalves, Luis Renato (BRA)",12740,45-49,01:42:28,03:31:44
2979,2376,M,"Kienstra, Matt (USA)",12934,30-34,01:43:54,03:31:44
2981,2377,M,"Saelens, Andrew (USA)",3285,40-44,01:33:26,03:31:44
2982,2378,M,"Yeh, Michael (USA)",23036,25-29,01:44:48,03:31:44
2985,2379,M,"Bouman, Timothy (USA)",5241,45-49,01:45:09,03:31:46
2987,2380,M,"Pearson, Dave (USA)",6306,40-44,01:35:32,03:31:47
2988,2381,M,"Duggan, Howard (IRL)",15340,45-49,01:43:34,03:31:48
2989,2382,M,"Bauman, Jared (USA)",12655,35-39,01:45:49,03:31:49
2990,2383,M,"Martin, Timothy (USA)",10524,25-29,01:47:53,03:31:49
2991,2384,M,"Silva da Costa, Newton (BRA)",12698,30-34,01:35:56,03:31:49
2992,2385,M,"Trevethan, Ian (USA)",7354,35-39,01:35:36,03:31:50
2993,2386,M,"Hernandez-Montiel, Salvador (MEX)",3878,50-54,01:48:04,03:31:51
2995,2387,M,"Schreiber, Kevin (USA)",10374,25-29,01:38:48,03:31:53
