place_overall,place_gender,sex,name,bib,division,half_split,finish
Place Overall,Place Gender,M,,BIB,Division,HALF,Finish
95,81,M,"Janssen, Henry (USA)",530,30-34,01:16:12,02:36:04
96,82,M,"Phillips, Ryan (USA)",7177,25-29,01:17:36,02:36:17
97,83,M,"Lloyd, Derrick (USA)",8156,25-29,01:17:54,02:36:19
98,84,M,"Cooper, Evan (USA)",5169,30-34,01:16:25,02:36:27
100,85,M,"Hernandez Mendoza, Juan Pablo (MEX)",9185,40-44,01:17:50,02:36:36
101,86,M,"Stratman, Eric (USA)",7041,25-29,01:14:23,02:36:42
102,87,M,"Bigman, Matthew (USA)",8071,25-29,01:18:17,02:36:46
104,88,M,"Hendrix, Austin (USA)",719,30-34,01:12:45,02:36:47
105,89,M,"Morales C, Francisco (CRC)",10069,35-39,01:16:48,02:36:53
106,90,M,"Pagnon, Laurent (FRA)",6114,35-39,01:17:12,02:36:57
107,91,M,"Hatheway, Gavin (CAN)",514,25-29,01:14:06,02:37:00
108,92,M,"Schuler, Jeff (USA)",656,40-44,01:17:26,02:37:06
109,93,M,"Casillas Mercado, Santiago (MEX)",2092,35-39,01:16:01,02:37:17
110,94,M,"Fishwick, Colin (USA)",485,40-44,01:17:44,02:37:19
112,95,M,"Kiracofe, Andrew (USA)",4104,25-29,01:15:16,02:37:31
113,96,M,"Thompson, Nicholas (USA)",708,45-49,01:19:02,02:37:33
114,97,M,"Duss, Jeremy (USA)",475,40-44,01:18:28,02:37:34
115,98,M,"McEneaney, James (USA)",10146,20-24,01:16:26,02:37:34
116,99,M,"Nousain, Spencer (USA)",600,25-29,01:16:06,02:37:35
117,100,M,"Keirns, Bryant (USA)",9053,25-29,01:17:05,02:37:38
118,101,M,"Chang, Jordan (USA)",4054,30-34,01:17:50,02:37:48
119,102,M,"Levet, Zachary (USA)",10063,20-24,01:16:10,02:37:50
120,103,M,"Engtrakul, Chaiwat (USA)",480,45-49,01:18:24,02:37:54
121,104,M,"Mora, Connor (USA)",6519,25-29,01:23:12,02:37:55
122,105,M,"Tuttle, Joseph (USA)",10099,35-39,01:19:25,02:37:56
123,106,M,"Arcos, Raul (USA)",406,30-34,01:10:21,02:37:57
124,107,M,"Hooper, Chris (CAN)",524,40-44,01:17:08,02:37:59
125,108,M,"Hannon, Thomas (USA)",7091,25-29,01:18:58,02:38:17
126,109,M,"Katzman, Zachary (USA)",6029,20-24,01:16:04,02:38:19
127,110,M,"Cifuentes, Miguel Angel (COL)",1125,40-44,01:18:00,02:38:19
129,111,M,"Browne, Steve (USA)",5045,25-29,01:16:36,02:38:26
131,112,M,"Togami, Adam (USA)",10145,25-29,01:13:47,02:38:29
132,113,M,"O'Connor, Nathan (USA)",4003,20-24,01:15:00,02:38:36
133,114,M,"Noecker, Brett (USA)",7089,30-34,01:17:51,02:38:48
135,115,M,"Allen, Jonathan (USA)",5123,20-24,01:19:54,02:38:59
136,116,M,"Cortes Galeana, Jose Alberto (MEX)",10090,35-39,01:16:52,02:38:59
137,117,M,"Thirumurthy, Harsha (USA)",675,40-44,01:19:01,02:39:04
138,118,M,"Sanchez, Joshua (USA)",648,30-34,01:11:41,02:39:04
139,119,M,"Walsh, William (IRL)",1097,30-34,01:18:32,02:39:07
140,120,M,"Proffitt, David (USA)",628,25-29,01:16:35,02:39:15
141,121,M,"Meyer, Matthew (USA)",576,25-29,01:17:08,02:39:19
142,122,M,"Klucznik, Christopher (USA)",546,35-39,01:16:08,02:39:28
143,123,M,"Musgrave, Patrick (USA)",591,25-29,01:17:08,02:39:33
144,124,M,"Wolf, Henry (USA)",701,25-29,01:18:25,02:39:38
145,125,M,"Leaf, John (USA)",7095,30-34,01:17:56,02:39:40
146,126,M,"Howard, Logan (USA)",7121,30-34,01:16:43,02:40:06
147,127,M,"Yanek, Nicholas (USA)",4152,20-24,01:13:21,02:40:12
148,128,M,"Ryan, Jeremy (USA)",9046,25-29,01:19:16,02:40:19
150,129,M,"Hague, William (USA)",510,25-29,01:16:18,02:40:23
152,130,M,"Bund, William (USA)",7410,25-29,01:19:10,02:40:26
154,131,M,"Porst, Chris (USA)",624,30-34,01:16:21,02:40:44
157,132,M,"Widner, Zacchaeus (USA)",695,30-34,01:10:30,02:40:50
158,133,M,"Bobbitt, Brady (USA)",422,20-24,01:12:48,02:41:01
159,134,M,"Montoya, Alvaro (CHI)",4190,40-44,01:18:08,02:41:08
160,135,M,"Anderson, Sam (USA)",7057,25-29,,02:41:13
161,136,M,"Goodfellow, Kenny (USA)",502,30-34,01:14:11,02:41:17
162,137,M,"Janisch, Austin (USA)",8042,20-24,01:18:55,02:41:18
163,138,M,"Chong, Hung Hoi Henry (HKG)",7156,40-44,01:20:22,02:41:23
164,139,M,"Waldum, Adam (USA)",684,25-29,01:15:38,02:41:28
165,140,M,"Minashkin, Nikita (RUS)",2188,30-34,01:20:41,02:41:29
166,141,M,"Mills, Tom (GBR)",1440,35-39,01:19:41,02:41:39
167,142,M,"Newton, Jt (USA)",9139,30-34,01:19:09,02:41:42
168,143,M,"Ruiz-Tagle, Tomas (CHI)",12005,35-39,01:19:19,02:41:43
169,144,M,"Peters, Michael (USA)",6471,25-29,01:21:28,02:41:52
170,145,M,"Chenoweth, Zach (USA)",444,25-29,01:15:48,02:42:19
173,146,M,"Kaehr, Andrew (USA)",718,30-34,01:13:19,02:42:30
174,147,M,"Baldwin, Kyle (USA)",6152,25-29,01:20:14,02:42:33
175,148,M,"Kariolis, Vasili (USA)",4092,30-34,01:15:04,02:42:34
177,149,M,"Zhou, Alan (USA)",726,20-24,01:16:03,02:42:40
178,150,M,"Cutulenco, Alex (CAN)",1099,25-29,01:20:07,02:42:40
179,151,M,"Fryer, Anthony (GBR)",490,45-49,01:21:33,02:42:45
180,152,M,"Ramos, Miguel (MEX)",10196,30-34,01:19:36,02:42:50
181,153,M,"East, James (USA)",8099,25-29,01:19:19,02:42:53
182,154,M,"Prince, Jesse (USA)",4044,40-44,01:17:51,02:42:54
183,155,M,"Huang, Jeffery (USA)",8074,25-29,01:19:42,02:42:55
184,156,M,"DiChiara, Tom (USA)",6055,40-44,01:18:26,02:42:58
185,157,M,"Edwards, Tom (USA)",8018,35-39,01:19:03,02:43:01
187,158,M,"Semenov, Pavel (RUS)",9007,30-34,01:20:53,02:43:08
188,159,M,"Perez, James (USA)",616,25-29,01:19:29,02:43:09
189,160,M,"Romashov, Ilya (RUS)",2185,30-34,01:19:50,02:43:11
190,161,M,"Tomaszewski, Jeff (USA)",6141,45-49,01:20:40,02:43:15
191,162,M,"Morey, Tyler (USA)",585,30-34,01:14:02,02:43:20
192,163,M,"Mayforth, Tyler (USA)",571,35-39,01:16:36,02:43:20
193,164,M,"Dorgan, Patrick (USA)",470,40-44,01:15:51,02:43:23
194,165,M,"Gabrielson, Chris (USA)",4177,30-34,01:20:17,02:43:25
195,166,M,"Alexander, Grant (USA)",11117,25-29,01:16:02,02:43:30
196,167,M,"Montenegro Hidalgo, Jose Alberto (CRC)",1152,35-39,01:20:59,02:43:34
197,168,M,"Starbuck, Ryan (USA)",5163,35-39,01:18:08,02:43:43
199,169,M,"Mcdonnell, Declan (USA)",712,30-34,01:18:25,02:43:57
200,170,M,"Pietroburgo, Daniel (USA)",10003,35-39,01:19:57,02:44:00
202,171,M,"Magliaro, Robert (USA)",7168,35-39,01:21:43,02:44:00
203,172,M,"Procknow, Adam (USA)",627,25-29,01:14:00,02:44:04
204,173,M,"Salminen, Matthew (USA)",6136,30-34,01:22:44,02:44:16
205,174,M,"Baeza, Carlos ulises (MEX)",2120,25-29,01:19:22,02:44:17
206,175,M,"Buckalew, Bryan (USA)",8198,40-44,01:21:41,02:44:19
207,176,M,"Matsuno, Myles (USA)",3159,35-39,01:16:54,02:44:21
208,177,M,"Guyer, Walt (USA)",507,40-44,01:17:52,02:44:28
209,178,M,"Nix, Jesse (USA)",9043,20-24,01:19:08,02:44:34
210,179,M,"Cargill, Ryan (USA)",8021,30-34,01:21:44,02:44:34
211,180,M,"Frantz IV, Ivan (USA)",6106,20-24,01:24:23,02:44:41
212,181,M,"Galt, Scott (CAN)",1082,30-34,01:21:40,02:44:44
214,182,M,"Harper, Jonathan (USA)",10438,25-29,01:23:48,02:44:52
215,183,M,"Fox, Matthew (AUS)",10163,30-34,01:22:53,02:44:57
216,184,M,"Gorski, Alex (USA)",9104,30-34,01:16:11,02:45:12
217,185,M,"Francis, Alex (USA)",10009,30-34,01:22:26,02:45:13
218,186,M,"Olshavsky, Austin (USA)",5112,25-29,01:18:56,02:45:14
219,187,M,"Ressler, Blake (USA)",9145,35-39,01:19:27,02:45:19
220,188,M,"Holtz, Ryan (USA)",8138,25-29,01:21:27,02:45:28
221,189,M,"Hardy, Sam (USA)",12062,20-24,01:16:45,02:45:28
222,190,M,"Tovar, Luis (VEN)",5149,35-39,01:22:39,02:45:30
223,191,M,"Gravelle, William (USA)",8092,20-24,01:16:33,02:45:34
224,192,M,"Brecelj, Jan (SUI)",3047,30-34,01:22:37,02:45:37
225,193,M,"Jones, Eric (USA)",10122,25-29,01:13:28,02:45:39
226,194,M,"Woodring, Seth (USA)",703,20-24,01:20:16,02:45:44
227,195,M,"Luniv, Vitalii (UKR)",3059,30-34,01:22:02,02:45:46
228,196,M,"King, Paul (AUS)",6113,40-44,01:21:15,02:45:51
229,197,M,"Olsen, Jon (USA)",7098,45-49,01:21:49,02:45:52
230,198,M,"Zimnukhov, Ivan (RUS)",2189,35-39,01:20:41,02:45:54
231,199,M,"Stallsmith, Torey (USA)",5181,30-34,01:19:37,02:45:58
233,200,M,"Acosta, Jason (USA)",8133,35-39,01:17:12,02:46:02
234,201,M,"Salas, Andres (CRC)",1150,35-39,01:23:13,02:46:06
235,202,M,"Greenberg, Jake (USA)",6059,25-29,01:20:49,02:46:11
236,203,M,"Clark, Steven (USA)",10158,50-54,01:23:31,02:46:12
237,204,M,"Sudmeier, Jens (USA)",3120,20-24,01:18:14,02:46:14
238,205,M,"Hohlman, Robbie (USA)",523,25-29,01:15:27,02:46:17
239,206,M,"Manuszak, Christopher (USA)",4091,25-29,01:19:03,02:46:24
240,207,M,"Martin Garcia, Francisco Jose (ESP)",4129,30-34,01:22:40,02:46:29
241,208,M,"Bautista, Manuel (USA)",5009,35-39,01:21:13,02:46:31
242,209,M,"Casey, Kameron (USA)",10052,25-29,01:16:33,02:46:33
246,210,M,"Bailon, Argeni (USA)",28094,25-29,01:17:37,02:46:51
248,211,M,"Matsuzawa, Takehiro (JPN)",8199,25-29,01:21:34,02:46:53
249,212,M,"Sanchez, Enrique (USA)",4009,30-34,01:21:29,02:47:00
250,213,M,"Chisholm, Eric (USA)",4081,35-39,01:22:25,02:47:02
251,214,M,"Hunt, Joseph (USA)",5168,25-29,01:18:32,02:47:04
252,215,M,"Arroyo Garcia, Israel (MEX)",2086,45-49,01:19:55,02:47:05
253,216,M,"Cousins, Tim (AUS)",7160,30-34,01:19:32,02:47:11
254,217,M,"Zuluaga, Carlos (USA)",1142,35-39,01:25:54,02:47:12
255,218,M,"Klaiber, Jonathan (USA)",544,20-24,01:12:56,02:47:12
256,219,M,"Glazunov, Vladimir (RUS)",2174,40-44,01:19:46,02:47:12
257,220,M,"Dauer, Quinn (USA)",7034,35-39,01:24:21,02:47:13
259,221,M,"Chavez, Michael (USA)",6030,35-39,01:24:09,02:47:22
261,222,M,"Johnson, Chris (USA)",6018,30-34,01:18:47,02:47:31
262,223,M,"Chapman, Thomas (USA)",441,40-44,01:19:01,02:47:32
263,224,M,"White, Paul (USA)",9068,45-49,01:19:37,02:47:38
264,225,M,"Tice, Kindy (USA)",5074,30-34,01:25:19,02:47:39
266,226,M,"Branick, Kevin (USA)",5047,35-39,01:23:46,02:47:42
267,227,M,"Kennelly, Michael (USA)",12010,30-34,01:21:04,02:47:45
268,228,M,"Gabrek, Ben (USA)",4194,30-34,01:24:20,02:47:46
269,229,M,"Shimizu, Hayato (USA)",3165,35-39,01:22:41,02:47:50
270,230,M,"Shlezinger, Artem (UKR)",3061,30-34,01:19:31,02:47:52
271,231,M,"Thewissen, Thomas (BEL)",1026,30-34,01:22:46,02:47:52
272,232,M,"Velazquez, Orlando (USA)",683,40-44,01:17:49,02:47:53
273,233,M,"Bacro, Frederic (BEL)",5007,45-49,01:22:09,02:48:02
274,234,M,"Anderson, Ian (USA)",404,30-34,01:19:22,02:48:03
275,235,M,"Fitzsimmons, Alec (USA)",6171,30-34,01:17:11,02:48:05
276,236,M,"Gladley, Alex (GBR)",497,30-34,01:21:52,02:48:07
277,237,M,"Baldwin, Christopher (USA)",4197,35-39,01:23:05,02:48:09
278,238,M,"Brown Brotherton, Matthew (USA)",8151,30-34,01:23:29,02:48:14
279,239,M,"Taha Elkiaei, Mohamed (EGY)",9141,35-39,01:23:46,02:48:15
280,240,M,"Zeisler, David (USA)",6085,45-49,01:24:15,02:48:21
282,241,M,"Given, Michael (USA)",3398,25-29,01:22:49,02:48:25
283,242,M,"Huber, Martin (AUT)",4119,35-39,01:22:22,02:48:26
284,243,M,"Deleon, Matthew (USA)",4056,25-29,01:23:25,02:48:28
285,244,M,"Vollmer, Mark (CAN)",1070,40-44,01:21:33,02:48:34
286,245,M,"Davidson, Terry (USA)",462,50-54,01:20:58,02:48:35
287,246,M,"Norton, Alexander (USA)",4084,35-39,,02:48:38
288,247,M,"Suarez, Diego (MEX)",3439,40-44,01:21:19,02:48:39
289,248,M,"Lock, Myles (USA)",7163,30-34,01:25:28,02:48:40
290,249,M,"Niedermeier, Jonah (USA)",7184,25-29,01:18:59,02:48:40
291,250,M,"Petersen, Paul (USA)",618,40-44,01:25:23,02:48:41
292,251,M,"Gutierrez Madrigal, Rony (CRC)",1149,40-44,01:24:24,02:48:42
293,252,M,"Tissue, Jeff (USA)",676,30-34,01:17:52,02:48:44
294,253,M,"Ardila, Pedro (USA)",10490,35-39,01:24:06,02:48:45
295,254,M,"Oh, Samuel (USA)",9379,20-24,01:21:37,02:48:47
296,255,M,"Schwarz, Chris (CAN)",1090,50-54,01:20:03,02:48:49
297,256,M,"Gabie, Paul (CAN)",2197,40-44,01:22:46,02:48:52
298,257,M,"Naqui, Anando (USA)",9182,30-34,01:24:16,02:48:58
300,258,M,"Townson, Doug (CAN)",1104,45-49,01:23:17,02:49:00
301,259,M,"Rodriguez, Luis Alonso (CRC)",1154,35-39,01:22:47,02:49:01
302,260,M,"Dimas, Mario (MEX)",3193,35-39,01:18:33,02:49:03
303,261,M,"Winski, Christopher (USA)",30053,25-29,01:17:13,02:49:06
304,262,M,"DiTocco, Mike (USA)",4095,25-29,01:17:52,02:49:07
305,263,M,"Robbins, Chris (USA)",6190,45-49,01:23:22,02:49:07
306,264,M,"Burns, Scott (USA)",9121,40-44,01:20:03,02:49:10
307,265,M,"Plunkett, Daniel (USA)",622,25-29,01:12:23,02:49:12
308,266,M,"Luzzi, Sean (USA)",4049,25-29,01:16:51,02:49:13
309,267,M,"Thielsen, Brendan (USA)",10183,25-29,01:14:29,02:49:15
310,268,M,"Crnic, Steven (USA)",4111,25-29,01:19:58,02:49:22
311,269,M,"Ledford, Ted (USA)",5026,30-34,01:18:23,02:49:22
312,270,M,"Charyk, Jonas (CAN)",1095,35-39,01:19:39,02:49:28
313,271,M,"Cardona Kafruni, Cesar Augusto (USA)",1349,30-34,01:22:45,02:49:32
314,272,M,"McPherson, Brian (USA)",4089,30-34,01:21:11,02:49:32
315,273,M,"Oligmueller, Jay (USA)",604,40-44,01:19:35,02:49:33
316,274,M,"Genteman, Jared (USA)",5193,25-29,01:19:20,02:49:34
317,275,M,"Raslowsky, Christian (AFG)",9181,20-24,01:20:57,02:49:34
318,276,M,"Jarvis, Collin (USA)",531,30-34,01:21:22,02:49:37
319,277,M,"Robbins, Alex (USA)",4149,25-29,01:27:01,02:49:40
320,278,M,"Mathias, Todd (USA)",7102,35-39,01:23:26,02:49:40
321,279,M,"Guillen, Alvaro (CRC)",10134,30-34,01:23:21,02:49:42
322,280,M,"Ross, Peter (USA)",7193,20-24,01:24:23,02:49:42
323,281,M,"Lira, Cesar (USA)",5146,40-44,01:22:30,02:49:48
324,282,M,"Moore, Cody (USA)",583,25-29,,02:49:50
325,283,M,"Taylor, Aidan (GBR)",10117,25-29,01:23:01,02:49:52
326,284,M,"Fernandez De Cordova Del Campo, Juan Fernando (ECU)",1174,30-34,01:20:42,02:49:56
327,285,M,"Stanesby, Matthew (USA)",667,35-39,01:22:50,02:49:57
329,286,M,"Almeida, Hugo (BRA)",1451,30-34,01:20:52,02:50:08
331,287,M,"Jimenez, Thomas (USA)",8067,25-29,01:22:09,02:50:13
332,288,M,"Marban, Albert (USA)",5145,25-29,01:23:11,02:50:23
333,289,M,"Ponna, Natraj (IND)",8096,30-34,01:24:16,02:50:23
334,290,M,"Espinoza mendiola, Ernesto (CRC)",10138,40-44,01:19:23,02:50:26
335,291,M,"Sutton, Chad (USA)",9066,35-39,01:20:15,02:50:27
336,292,M,"Cortinas Vidal, Jesus Armando (MEX)",10084,30-34,01:23:36,02:50:27
337,293,M,"Nieves, Joshua (USA)",6151,20-24,01:24:38,02:50:30
338,294,M,"Barajas Flores, Alberto (MEX)",2090,40-44,01:21:25,02:50:31
339,295,M,"Meehan, Matt (USA)",32019,25-29,01:21:36,02:50:33
340,296,M,"Rock, Jordan (USA)",7048,25-29,01:22:42,02:50:37
341,297,M,"Tyner, Alexander (USA)",5073,25-29,01:17:59,02:50:39
344,298,M,"Wijeyeratne, Shihan (USA)",4062,25-29,01:19:52,02:50:49
345,299,M,"Hergott, Daniel (USA)",4099,20-24,01:24:30,02:51:03
346,300,M,"Toledo, Jose (COL)",2083,40-44,01:22:16,02:51:08
349,301,M,"Arreguin, Anthony (USA)",5054,25-29,01:25:46,02:51:16
350,302,M,"Powell, Calvin (USA)",4010,30-34,01:18:56,02:51:23
351,303,M,"Smith, Logan (USA)",4130,30-34,01:22:06,02:51:23
352,304,M,"Cruz, Dan (USA)",7055,40-44,01:27:19,02:51:25
353,305,M,"Getty, Benjamin (USA)",7186,25-29,01:22:38,02:51:27
354,306,M,"Granato, Kevin (USA)",5011,40-44,01:26:11,02:51:27
355,307,M,"Greguske, Ryan (USA)",5084,25-29,01:23:40,02:51:28
356,308,M,"Mininger, Norman (USA)",6197,35-39,01:23:29,02:51:31
357,309,M,"Kuchinad, Amar (USA)",7152,45-49,01:24:16,02:51:38
358,310,M,"Dittborn, Antonio (CHI)",1120,40-44,01:26:22,02:51:39
359,311,M,"Hu, Kyler (USA)",6013,25-29,01:25:29,02:51:39
360,312,M,"Lennington, Daniel (USA)",10029,40-44,01:23:44,02:51:43
361,313,M,"Wolin, Matthew (USA)",5019,35-39,01:23:05,02:51:47
362,314,M,"Peterson, Thaddeus (USA)",6388,40-44,01:27:39,02:51:50
363,315,M,"Wyeth, Adam (USA)",5058,25-29,01:21:54,02:51:55
365,316,M,"Peters, Will (USA)",5179,20-24,01:20:17,02:52:08
366,317,M,"Hedgespeth, Steve (USA)",9093,40-44,01:25:13,02:52:12
367,318,M,"Jaskowiak, Jake (USA)",26191,20-24,01:19:51,02:52:12
368,319,M,"Botma, Bryan (USA)",8155,35-39,01:20:38,02:52:16
369,320,M,"Riley, Jared (CAN)",1065,45-49,01:26:20,02:52:20
370,321,M,"Besnouin, Guillaume (FRA)",6160,40-44,01:25:03,02:52:20
371,322,M,"Lombana, Hugo (COL)",12025,30-34,01:16:18,02:52:21
372,323,M,"Saleh, Anton (USA)",4051,25-29,01:21:21,02:52:23
373,324,M,"Quealy, Sean (USA)",4118,40-44,01:26:39,02:52:26
374,325,M,"Wierenga, John (USA)",6068,25-29,01:24:03,02:52:29
375,326,M,"Oh, Yoon (USA)",7203,35-39,01:26:09,02:52:30
